n         ,kappa    ,lambda,flux, energy, radius, A0max
1.000000 100.000000 0.100000 0.686841 15.259821 6.314303 1.237561
1.000000 100.000000 0.100000 0.686841 15.259821 6.314303 1.237561
2.000000 100.000000 0.100000 1.485406 46.610173 9.501853 1.381977
1.000000 100.000000 0.100000 0.581210 15.455276 6.312129 1.240848
1.000000 100.000000 0.100000 0.581210 15.455276 6.312129 1.240848
1.000000 100.000000 0.100000 0.581210 15.455276 6.312129 1.240848
1.000000 100.000000 0.100000 0.581210 15.455276 6.312129 1.240848
1.000000 100.000000 0.100000 0.423266 15.137368 6.283976 1.233953
1.000000 100.000000 0.100000 0.423266 15.137368 6.283976 1.233953
1.000000 100.000000 1.000000 -0.017709 1.227664 2.263031 1.027144
1.000000 100.000000 1.000000 -0.009938 1.637984 2.263031 1.027144
1.000000 1.000000 1.000000 0.999828 0.957336 1.573751 2.347156
1.000000 2.000000 1.000000 1.000534 1.114032 2.043961 1.813774
1.000000 20.000000 1.000000 0.213138 1.530103 2.375050 1.136868
1.000000 20.000000 1.000000 0.372025 1.680875 2.375050 1.136868
1.000000 20.000000 1.000000 0.385594 1.706348 2.375050 1.136868
1.000000 20.000000 1.000000 0.825436 1.760269 2.386485 1.142729
1.000000 20.000000 1.000000 0.840491 1.762149 2.386485 1.142729
1.000000 20.000000 1.000000 0.946956 1.763660 2.387586 1.142923
1.000000 20.000000 1.000000 0.964991 1.763889 2.387586 1.142923
1.000000 20.000000 1.000000 0.964991 1.763889 2.387586 1.142923
1.000000 20.000000 1.000000 0.964991 1.763889 2.387586 1.142923
1.000000 20.000000 0.100000 0.960941 11.079503 3.271387 1.813834
1.000000 20.000000 0.100000 0.960941 11.079503 3.271387 1.813834
2.000000 20.000000 0.100000 1.988454 31.588755 4.186365 2.203213
3.000000 20.000000 0.100000 2.973054 59.201763 4.825832 2.520057
4.000000 20.000000 0.100000 3.991528 92.351041 5.251805 2.795316
5.000000 20.000000 0.100000 4.987077 130.935334 5.659817 3.042277
5.000000 20.000000 0.100000 4.987077 130.935334 5.659817 3.042277
6.000000 20.000000 0.100000 5.988315 174.338665 5.995987 3.268333
7.000000 20.000000 0.100000 6.985836 222.080253 6.277936 3.478108
8.000000 20.000000 0.100000 7.976568 274.563364 6.558529 3.674731
9.000000 20.000000 0.100000 8.999513 329.081482 6.817434 3.860435
10.000000 20.000000 0.100000 9.979169 388.987476 7.039739 4.036881
20.000000 20.000000 0.100000 19.714362 15854.019648 0.049762 33.499273
20.000000 20.000000 0.100000 20.261772 1148.098825 8.826645 5.481153
20.000000 20.000000 0.100000 20.161427 1148.103408 8.826645 5.481153
20.000000 20.000000 0.100000 20.161427 1148.103408 8.826645 5.481153
20.000000 20.000000 0.100000 20.161427 1148.103408 8.826645 5.481153
30.000000 20.000000 0.100000 32.184703 2160.093456 10.116052 6.604614
30.000000 20.000000 0.100000 27.741599 2164.830769 10.116052 6.604614
40.000000 20.000000 0.100000 47.491434 3414.399344 11.232104 7.527589
40.000000 20.000000 0.100000 44.092679 3378.842128 11.181490 7.557845
50.000000 20.000000 0.100000 54.033256 4779.312509 12.103850 8.400944
60.000000 20.000000 0.100000 63.436852 6337.770104 7.274283 9.170626
70.000000 20.000000 0.100000 71.248721 8040.702130 7.968306 9.906026
70.000000 20.000000 0.100000 86.217068 8060.397278 13.683297 9.867492
70.000000 20.000000 0.100000 79.111432 8048.465086 13.681038 9.869408
-1.000000 20.000000 0.100000 -1.019963 4.824934 2.719915 0.754817
-1.000000 20.000000 0.100000 -1.019963 4.824934 2.719915 0.754817
-1.000000 20.000000 0.100000 -6.511161 29.271201 2.719915 0.754817
-1.000000 20.000000 0.100000 -1.379070 4.931270 2.736402 0.754977
-1.000000 20.000000 0.100000 -1.001378 4.894851 2.729985 0.754322
-2.000000 20.000000 0.100000 -2.073688 9.830437 3.691163 0.753370
-3.000000 20.000000 0.100000 -3.039120 14.761010 4.382560 0.752829
-4.000000 20.000000 0.100000 -3.201996 18.615323 4.956464 0.752479
-4.000000 20.000000 0.100000 -6.606041 22.098273 4.956464 0.752479
-4.000000 20.000000 0.100000 -7.278268 22.054549 4.965585 0.752479
-4.000000 20.000000 0.100000 -4.056475 19.678621 4.965585 0.752479
-5.000000 20.000000 0.100000 -5.050060 24.639396 5.450927 0.752232
-6.000000 20.000000 0.100000 -5.994293 29.593877 5.902376 0.752046
-8.000000 20.000000 0.100000 -8.044632 39.508308 6.687328 0.751780
-9.000000 20.000000 0.100000 -9.353882 916072.833978 5.745566 28.379313
-9.000000 20.000000 0.100000 -9.208992 44.491921 7.042616 0.751680
-10.000000 20.000000 0.100000 -10.215886 49.459254 7.377721 0.751596
-20.000000 20.000000 0.100000 -20.012323 99.180775 10.053154 0.751133
-30.000000 20.000000 0.100000 -29.993475 148.996461 12.085403 0.750926
-40.000000 20.000000 0.100000 -41.210704 198.298972 13.792028 0.750803
-40.000000 20.000000 0.100000 -40.046859 197.347506 13.798988 0.750819
-40.000000 20.000000 0.100000 -40.072384 197.134005 13.791486 0.750803
-50.000000 20.000000 0.100000 -50.137598 247.331267 15.300705 0.750718
-60.000000 20.000000 0.100000 -59.754365 297.150485 16.651844 0.750656
-70.000000 20.000000 0.100000 -69.716815 347.052377 17.904555 0.750607
-80.000000 20.000000 0.100000 -79.711382 396.958303 19.061822 0.750568
-90.000000 20.000000 0.100000 -89.363157 446.082168 20.156363 0.751178
-100.000000 20.000000 0.100000 -99.362399 494.979916 21.181309 0.750514
-1.000000 10.000000 0.500000 -1.123401 1.463287 2.558265 0.828221
-1.000000 10.000000 0.500000 -1.194958 1.470632 2.558265 0.828221
-1.000000 10.000000 0.500000 -0.991920 1.459569 2.558265 0.828221
-1.000000 10.000000 0.500000 -0.991920 1.459569 2.558265 0.828221
-2.000000 10.000000 0.500000 -2.109295 3.293596 3.979923 0.808248
-2.000000 10.000000 0.500000 -2.003670 3.288041 3.978294 0.808396
-3.000000 10.000000 0.500000 -2.963371 5.259027 5.055061 0.798357
-4.000000 10.000000 0.500000 -3.943673 7.307968 5.959315 0.792105
-5.000000 10.000000 0.500000 -4.885986 9.407575 6.747657 0.787751
-5.000000 10.000000 0.500000 -5.138362 9.412634 6.747657 0.787751
-6.000000 10.000000 0.500000 -6.544871 11.616618 7.446522 0.785217
-6.000000 10.000000 0.500000 -6.092295 11.549129 7.450624 0.784513
-7.000000 10.000000 0.500000 -7.097983 13.716949 8.099106 0.781972
-8.000000 10.000000 0.500000 -8.104454 15.907656 8.700137 0.779916
-9.000000 10.000000 0.500000 -9.080709 18.117628 9.258990 0.778208
-10.000000 10.000000 0.500000 -12.049706 20.848141 9.779884 0.777409
-10.000000 10.000000 0.500000 -11.106086 937.629228 0.125726 -19.809179
-10.000000 10.000000 0.500000 -10.397793 20.339202 9.788969 0.776765
-10.000000 10.000000 0.500000 -9.996376 20.327144 9.788969 0.776765
-20.000000 10.000000 0.500000 -19.734752 43.101941 14.026413 0.768910
-20.000000 10.000000 0.500000 -20.002933 43.110275 14.026413 0.768910
-30.000000 10.000000 0.500000 -30.355151 66.590253 17.249982 0.765142
-30.000000 10.000000 0.500000 -30.470204 66.089911 17.250136 0.765428
-30.000000 10.000000 0.500000 -29.900884 66.058137 17.250136 0.765428
-40.000000 10.000000 0.500000 -39.840661 89.628368 19.962852 0.763354
-50.000000 10.000000 0.500000 -49.576615 113.360992 22.341377 0.761940
-50.000000 10.000000 0.500000 -49.882494 113.427027 22.342733 0.761940
-60.000000 10.000000 0.500000 -59.864256 137.286415 24.488883 0.760897
-70.000000 10.000000 0.500000 -69.729077 161.277908 26.465564 0.760086
-70.000000 10.000000 0.500000 -69.879547 161.254851 26.464208 0.760086
-80.000000 10.000000 0.500000 -79.895908 185.333439 28.303206 0.759432
-90.000000 10.000000 0.500000 -89.878715 209.380387 30.026964 0.758890
-100.000000 10.000000 0.500000 -99.812928 233.513406 31.654013 0.758430
-1.000000 100.000000 0.100000 -1.548246 17.226652 5.102929 0.867643
-1.000000 100.000000 0.100000 -2.178293 11.382280 5.070224 0.869800
-1.000000 100.000000 0.100000 -1.652111 10.459454 5.070224 0.869800
-1.000000 100.000000 0.100000 -2.178293 11.382280 5.070224 0.869800
-1.000000 100.000000 0.100000 -2.075625 11.151654 5.076339 0.869873
-1.000000 100.000000 0.100000 -0.825447 9.852214 5.076339 0.869873
-1.000000 100.000000 0.100000 -0.597542 9.499491 5.295926 0.858752
-1.000000 100.000000 0.100000 -1.042546 10.535516 5.295926 0.858752
-1.000000 10.000000 0.100000 -2.370265 4.269136 2.113396 0.664770
-1.000000 50.000000 0.100000 -2.096737 9.104822 3.981049 0.824161
-1.000000 30.000000 0.100000 -2.789811 8.274790 3.212852 0.791046
-1.000000 30.000000 0.050000 -4.971051 59.560054 2.676334 0.722751
-1.000000 60.000000 0.050000 -1.347169 11.873459 3.623370 0.790865
-1.000000 50.000000 0.050000 -1.243650 10.820188 3.342918 0.775860
-1.000000 50.000000 0.050000 -1.243650 10.820188 3.342918 0.775860
-1.000000 50.000000 0.050000 -0.996107 10.665422 3.326867 0.775943
-2.000000 50.000000 0.050000 -1.992437 22.082619 4.455076 0.768758
-3.000000 50.000000 0.050000 -2.992091 33.776855 5.247871 0.765440
-4.000000 50.000000 0.050000 -3.995253 45.577854 5.900629 0.763405
-5.000000 50.000000 0.050000 -4.993665 57.441329 6.474333 0.762001
-6.000000 50.000000 0.050000 -6.030051 69.369440 6.980277 0.760958
-7.000000 50.000000 0.050000 -7.028608 81.352378 7.443305 0.760146
-8.000000 50.000000 0.050000 -8.029833 93.361070 7.870195 0.759490
-9.000000 50.000000 0.050000 -8.986707 105.396543 8.269981 0.758946
-10.000000 50.000000 0.050000 -9.974093 117.457299 8.647180 0.758485
-13.000000 50.000000 0.050000 -13.149685 153.783672 9.674878 0.757438
-16.000000 50.000000 0.050000 -15.875146 190.212666 10.580607 0.756700
-16.000000 50.000000 0.050000 -16.565393 190.509958 10.580607 0.756700
-16.000000 50.000000 0.050000 -16.088931 190.241650 10.580607 0.756700
-20.000000 50.000000 0.050000 -19.545255 238.692393 11.660255 0.755986
-20.000000 50.000000 0.050000 -20.208337 239.015053 11.660255 0.755986
-30.000000 50.000000 0.050000 -29.891839 361.261650 13.946036 0.754847
-30.000000 50.000000 0.050000 -30.439318 361.464244 13.946036 0.754847
-40.000000 50.000000 0.050000 -40.881650 32519.298315 7.150495 -32.272130
-40.000000 50.000000 0.050000 -41.702208 33075.929850 7.574722 -35.497660
-40.000000 50.000000 0.050000 -40.930269 482.071194 15.864064 0.754233
-40.000000 50.000000 0.050000 -40.036826 481.669867 15.865691 0.754233
-50.000000 50.000000 0.050000 -50.836364 604.612583 17.554772 0.753786
-50.000000 50.000000 0.050000 -49.842365 604.136808 17.554772 0.753786
-60.000000 50.000000 0.050000 -59.781613 726.609088 19.072578 0.753455
-70.000000 50.000000 0.050000 -69.865643 849.339943 20.474060 0.753198
-80.000000 50.000000 0.050000 -79.814613 972.263617 21.765184 0.752991
-90.000000 50.000000 0.050000 -89.789348 1095.379218 22.988431 0.752820
-100.000000 50.000000 0.050000 -99.772471 1218.666125 24.138557 0.752675
-150.000000 50.000000 0.050000 -149.450272 3488.284671 28.570770 0.965557
-150.000000 50.000000 0.050000 -150.078836 1837.449429 29.184382 0.752206
-200.000000 50.000000 0.050000 -199.102293 2458.919357 33.431309 0.751869
-200.000000 50.000000 0.050000 -199.708764 2463.719847 33.431128 0.752370
-200.000000 50.000000 0.050000 -199.384897 2459.651963 33.430586 0.752392
-200.000000 50.000000 0.050000 -199.430098 2455.771002 33.432755 0.751891
-300.000000 50.000000 0.050000 -283.557509 3596.171949 40.550705 0.751540
-300.000000 50.000000 0.050000 -299.319111 3696.399732 40.551699 0.751551
-300.000000 50.000000 0.050000 -299.472763 3698.472400 40.550976 0.751543
-400.000000 50.000000 0.050000 -399.066809 4941.167070 46.551488 0.751337
-400.000000 50.000000 0.050000 -398.670116 4942.989543 46.550976 0.751339
-400.000000 50.000000 0.050000 -399.683632 4943.340610 46.550976 0.751339
-500.000000 50.000000 0.050000 -500.299463 6187.103095 51.836406 0.751190
-600.000000 50.000000 0.050000 -597.175112 7430.001893 56.616594 0.750847
-600.000000 50.000000 0.050000 -595.357635 46896.983473 61.704989 1.887953
-600.000000 50.000000 0.050000 -599.750071 8778.937149 56.469450 0.797079
-600.000000 50.000000 0.050000 -599.634354 7431.151642 56.611714 0.751091
-700.000000 50.000000 0.050000 -697.871532 8674.891320 61.003615 0.751008
-700.000000 50.000000 0.050000 -699.309078 8676.895361 61.004338 0.751006
-700.000000 50.000000 0.050000 -699.812910 8676.788522 61.003435 0.751009
-800.000000 50.000000 0.050000 -815.969519 9975.388681 65.092643 0.750872
-800.000000 50.000000 0.050000 -799.422505 9918.820267 65.092191 0.750946
-900.000000 50.000000 0.050000 -894.323236 11155.950668 68.928959 0.750891
-900.000000 50.000000 0.050000 -899.709568 11172.033128 68.929381 0.751021
-900.000000 50.000000 0.050000 -899.562408 11166.750681 68.929863 0.750884
-1000.000000 50.000000 0.050000 -1008.518539 12423.959925 72.560376 0.750836
-1000.000000 50.000000 0.050000 -999.415668 12405.771920 72.559563 0.750845
-10000.000000 50.000000 0.050000 -6785.419355 12393161.201785 267.641179 14.639956
-10000.000000 50.000000 0.050000 -8194.516390 7962231.502278 257.593456 11.179921
-10000.000000 50.000000 0.050000 -9046.213653 4587621.301343 247.501988 7.627607
-10000.000000 50.000000 0.050000 -9993.353012 215562.215212 224.835864 0.929971
-10000.000000 50.000000 0.050000 -9993.407843 215543.957890 224.842251 0.931570
-10000.000000 50.000000 0.050000 -9951.196305 124549.612524 225.478956 0.750267
-10000.000000 50.000000 0.050000 -9998.964667 124720.473897 225.478956 0.750267
-1.000000 1.000000 5.000000 -0.854731 0.145282 0.367791 0.828360
-1.000000 1.000000 5.000000 -0.959868 0.145983 0.367791 0.828360
-1.000000 1.000000 5.000000 -0.823186 0.146500 0.367791 0.828360
-1.000000 1.000000 5.000000 -0.962454 0.145779 0.369871 0.828473
-1.000000 1.000000 5.000000 -0.994447 0.145767 0.369871 0.828473
-1.000000 1.000000 5.000000 -0.994447 0.145767 0.369871 0.828473
-1.000000 1.000000 5.000000 -0.994447 0.145767 0.369871 0.828473
-2.000000 1.000000 5.000000 -1.993307 0.328730 0.010000 0.808402
-5.000000 1.000000 5.000000 -4.991851 0.940816 0.010000 0.787762
-10.000000 1.000000 5.000000 -9.963110 2.034136 0.010000 0.776766
-10.000000 1.000000 5.000000 -9.989262 2.034150 0.010000 0.776766
-20.000000 1.000000 5.000000 -19.906158 4.312561 0.010000 0.768911
-30.000000 1.000000 5.000000 -29.965478 1444.434734 0.043434 -32.029926
-30.000000 1.000000 5.000000 -30.099533 297.625416 1.000000 -12.790916
-30.000000 1.000000 5.000000 -29.738652 6.634050 2.000000 0.765473
-30.000000 1.000000 5.000000 -29.712997 6.636678 2.000000 0.765473
-30.000000 1.000000 5.000000 -29.833967 6.633230 2.000000 0.765436
-50.000000 1.000000 5.000000 -49.800141 11.362753 4.000000 0.761942
-100.000000 1.000000 5.000000 -99.613429 23.572619 8.000000 0.843835
-100.000000 1.000000 5.000000 -99.778396 23.370129 15.000000 0.758895
-200.000000 1.000000 5.000000 -192.951201 47.380039 25.000000 0.773088
-200.000000 1.000000 5.000000 -199.634041 47.652995 35.000000 0.755965
-500.000000 1.000000 5.000000 -499.523765 1342.787186 83.320077 2.483136
-500.000000 1.000000 5.000000 -499.114425 285.300913 70.325380 1.059981
-500.000000 1.000000 5.000000 -499.553530 121.339200 60.000000 0.776629
-500.000000 1.000000 5.000000 -497.612715 121.250063 60.000000 0.753790
-500.000000 1.000000 5.000000 -499.198274 121.270414 60.000000 0.753790
-1000.000000 1.000000 5.000000 -974.410957 524.856672 70.000000 -2.036877
-1000.000000 1.000000 5.000000 -1009.444452 247.686322 90.000000 0.804437
-1000.000000 1.000000 5.000000 -1007.710678 246.695657 90.000000 0.744424
-1000.000000 1.000000 5.000000 -997.530566 244.695003 90.000000 0.752665
-1000.000000 1.000000 5.000000 -999.784310 244.710272 90.000000 0.752665
-2000.000000 1.000000 5.000000 -1701.204127 425.768272 110.000000 0.929579
-2000.000000 1.000000 5.000000 -1748.930901 437.230386 120.000000 0.906144
-2000.000000 1.000000 5.000000 -1904.675784 477.878951 120.000000 0.906277
-2000.000000 1.000000 5.000000 -1996.759903 492.642881 130.000000 0.753217
-2000.000000 1.000000 5.000000 -2005.597036 493.287792 130.000000 0.751875
-2000.000000 1.000000 5.000000 -1998.553386 492.501816 130.000000 0.751875
-2000.000000 1.000000 5.000000 -1998.553386 492.501816 148.350506 0.751875
-1000.000000 1.000000 5.000000 -997.892356 2692.383422 122.153380 2.630086
-1000.000000 1.000000 5.000000 -998.836693 244.707736 106.883586 0.752681
-500.000000 1.000000 5.000000 -498.730880 285.249718 76.250904 1.061044
-500.000000 1.000000 5.000000 -499.827270 121.257110 77.530831 0.753769
-200.000000 1.000000 5.000000 -199.489396 51.774766 51.288865 0.777770
-200.000000 1.000000 5.000000 -200.917892 47.769126 51.420222 0.755965
-100.000000 1.000000 5.000000 -99.460914 23.421312 38.188268 0.759180
-100.000000 1.000000 5.000000 -96.413795 23.264304 38.190754 0.758437
-100.000000 1.000000 5.000000 -99.886659 23.366147 38.190754 0.758437
-50.000000 1.000000 5.000000 -49.560381 11.361455 28.754745 0.761942
-30.000000 1.000000 5.000000 -29.947194 6.634588 23.549048 0.765429
-20.000000 1.000000 5.000000 -19.906626 4.304419 20.215775 0.768910
-10.000000 1.000000 5.000000 -9.704437 2.033811 15.746493 0.776766
-5.000000 1.000000 5.000000 -4.874262 0.941034 12.401454 0.787763
-5.000000 1.000000 5.000000 -4.984896 0.940896 12.401454 0.787763
-3.000000 1.000000 5.000000 -2.894383 0.526024 10.434940 0.798370
-3.000000 1.000000 5.000000 -2.954814 0.525909 10.434940 0.798370
-2.000000 1.000000 5.000000 -1.958241 0.328925 9.089131 0.808406
-1.000000 1.000000 5.000000 -0.963202 0.145862 7.109043 0.828458
-1.000000 1.000000 5.000000 -0.978789 0.145849 7.109043 0.828458
-1.000000 1.000000 5.000000 -0.978789 0.145849 7.109043 0.828458
-1.000000 1.000000 5.000000 -0.978789 0.145849 7.109043 0.828458
-1.000000 1.000000 5.000000 -0.978789 0.145849 7.109043 0.828458
-1.000000 1.000000 5.000000 -0.978789 0.145849 7.109043 0.828458
-1.000000 1.000000 5.000000 -0.978789 0.145849 7.109043 0.828458
-1.000000 1.000000 5.000000 -0.978789 0.145849 7.109043 0.828458
-1.000000 10.000000 0.500000 -1.309890 1.465458 9.860295 0.828482
-1.000000 10.000000 0.500000 -1.046087 1.453452 9.860295 0.828482
-1.000000 10.000000 0.500000 -1.006603 1.453122 9.860295 0.828482
-1.000000 10.000000 0.500000 -1.006603 1.453122 9.860295 0.828482
-1.000000 20.000000 0.100000 -6.511161 29.271201 5.458292 0.754817
-1.000000 20.000000 0.100000 -1.019963 4.824934 5.458292 0.754817
-1.000000 50.000000 0.050000 -6.602028 27.427327 7.015527 0.775930
-1.000000 50.000000 0.050000 -1.649765 10.892239 7.015527 0.775930
-1.000000 50.000000 0.050000 -1.026570 10.599403 7.015527 0.775930
-1.000000 50.000000 0.050000 -1.026570 10.599403 7.015527 0.775930
-1.000000 1.000000 5.000000 -0.955220 0.145801 7.109043 0.828458
-1.000000 1.000000 5.000000 -0.982053 0.145841 7.109043 0.828458
-2.000000 1.000000 5.000000 -1.964766 0.328888 9.089131 0.808406
-3.000000 1.000000 5.000000 -2.941571 0.525838 10.434940 0.798370
-4.000000 1.000000 5.000000 -3.914530 0.730623 11.499300 0.792122
-1.000000 50.000000 0.050000 -4.343314 16.934427 7.015527 0.775930
-1.000000 50.000000 0.050000 -1.649765 10.892239 7.015527 0.775930
-1.000000 50.000000 0.050000 -1.084607 10.605126 7.015527 0.775930
-1.000000 50.000000 0.050000 -1.084607 10.605126 7.015527 0.775930
-2.000000 50.000000 0.050000 -2.085066 22.019628 8.248847 0.768758
-2.000000 50.000000 0.050000 -2.085066 22.019628 8.248847 0.768758
-3.000000 50.000000 0.050000 -2.994061 33.732867 9.123691 0.765440
-4.000000 50.000000 0.050000 -3.997402 45.570095 9.811504 0.763405
-1.000000 100.000000 0.010000 -0.986462 37.908358 5.095072 0.664956
-1.000000 100.000000 0.010000 -0.986462 37.908358 5.095072 0.664956
-2.000000 100.000000 0.010000 -9.134055 231.610803 5.824222 0.688873
-2.000000 100.000000 0.010000 -2.007323 70.118199 5.824222 0.688873
-3.000000 100.000000 0.010000 -2.836288 216688.591227 6.336524 0.700325
-3.000000 100.000000 0.010000 -2.991536 100.543861 6.336524 0.700325
-3.000000 100.000000 0.010000 -2.991536 100.543861 6.336524 0.700325
-4.000000 100.000000 0.010000 -3.996388 130.302995 6.800035 0.707130
-5.000000 100.000000 0.010000 -4.997184 159.385208 7.174097 0.711753
-6.000000 100.000000 0.010000 -5.992775 187.941823 7.502079 0.715151
-7.000000 100.000000 0.010000 -6.996405 216.367970 7.805665 0.717782
-8.000000 100.000000 0.010000 -8.018214 244.561386 8.091181 0.719897
-9.000000 100.000000 0.010000 -8.496463 265.371762 8.348461 0.721645
-9.000000 100.000000 0.010000 -9.001833 272.554615 8.348461 0.721645
-9.000000 100.000000 0.010000 -9.001833 272.554615 8.348461 0.721645
-10.000000 100.000000 0.010000 -10.003507 300.253842 8.567342 0.723121
-20.000000 100.000000 0.010000 -19.994026 572.431114 10.516626 0.731065
-11.000000 100.000000 0.010000 -11.001544 327.891371 8.808585 0.724389
-12.000000 100.000000 0.010000 -11.997507 355.355425 9.034919 0.725492
-13.000000 100.000000 0.010000 -12.846496 380.378220 9.244990 0.726465
-13.000000 100.000000 0.010000 -13.001764 382.825034 9.244990 0.726465
-14.000000 100.000000 0.010000 -14.000031 410.134193 9.450092 0.727330
-15.000000 100.000000 0.010000 -14.992609 437.247177 9.626166 0.728107
-16.000000 100.000000 0.010000 -15.990152 464.339593 9.815338 0.728809
-17.000000 100.000000 0.010000 -16.995667 491.471330 9.995052 0.729448
-18.000000 100.000000 0.010000 -19.398596 520.995328 10.169360 0.730032
-18.000000 100.000000 0.010000 -18.000199 518.485586 10.169360 0.730032
-19.000000 100.000000 0.010000 -18.996435 545.457530 10.342317 0.730569
-50.000000 100.000000 0.010000 -49.979147 1361.360004 14.262202 0.738055
-150.000000 100.000000 0.010000 -150.014988 74555.964773 21.644252 0.743112
-150.000000 100.000000 0.010000 -154.872315 3985.366875 21.644252 0.743112
-150.000000 100.000000 0.010000 -150.407509 3942.193124 21.644252 0.743112
-150.000000 100.000000 0.010000 -149.451518 3937.387327 21.649855 0.743112
-300.000000 100.000000 0.010000 -208.047440 5201.186016 28.853941 0.745131
