x,bps
0.010000,0.000000
0.013614,0.000000
0.019034,0.000000
0.024454,-0.000000
0.029874,-0.000000
0.035295,-0.000000
0.040715,-0.000000
0.046135,-0.000000
0.051555,-0.000000
0.056976,0.000000
0.062396,0.000000
0.067816,0.000000
0.073237,0.000000
0.078657,0.000000
0.084077,0.000000
0.089497,0.000000
0.094918,0.000000
0.100338,0.000000
0.105758,0.000000
0.111179,0.000000
0.116599,0.000000
0.122019,0.000000
0.127439,0.000000
0.132860,0.000000
0.138280,0.000000
0.143700,0.000000
0.149121,0.000000
0.154541,0.000000
0.159961,0.000000
0.165381,0.000000
0.170802,0.000000
0.176222,0.000000
0.181642,0.000000
0.187063,0.000000
0.192483,0.000000
0.197903,0.000000
0.203323,0.000000
0.208744,0.000000
0.214164,0.000000
0.219584,0.000000
0.225005,0.000000
0.230425,0.000000
0.235845,0.000000
0.241265,0.000000
0.246686,0.000000
0.252106,0.000000
0.257526,0.000000
0.262946,0.000000
0.268367,0.000000
0.273787,0.000000
0.279207,0.000000
0.284628,0.000000
0.290048,0.000000
0.295468,0.000001
0.300888,0.000001
0.306309,0.000001
0.311729,0.000001
0.317149,0.000001
0.322570,0.000001
0.327990,0.000001
0.333410,0.000001
0.338830,0.000001
0.344251,0.000001
0.349671,0.000001
0.355091,0.000002
0.360512,0.000002
0.365932,0.000002
0.371352,0.000002
0.376772,0.000002
0.382193,0.000003
0.387613,0.000003
0.393033,0.000003
0.398454,0.000003
0.403874,0.000003
0.409294,0.000004
0.414714,0.000004
0.420135,0.000004
0.425555,0.000005
0.430975,0.000005
0.436396,0.000006
0.441816,0.000006
0.447236,0.000006
0.452656,0.000007
0.458077,0.000007
0.463497,0.000008
0.468917,0.000008
0.474337,0.000009
0.479758,0.000010
0.485178,0.000010
0.490598,0.000011
0.496019,0.000012
0.501439,0.000013
0.506859,0.000013
0.512279,0.000014
0.517700,0.000015
0.523120,0.000016
0.528540,0.000017
0.533961,0.000018
0.539381,0.000019
0.544801,0.000021
0.550221,0.000022
0.555642,0.000023
0.561062,0.000025
0.566482,0.000026
0.571903,0.000027
0.577323,0.000029
0.582743,0.000031
0.588163,0.000032
0.593584,0.000034
0.599004,0.000036
0.604424,0.000038
0.609845,0.000040
0.615265,0.000042
0.620685,0.000044
0.626105,0.000047
0.631526,0.000049
0.636946,0.000052
0.642366,0.000054
0.647787,0.000057
0.653207,0.000060
0.658627,0.000063
0.664047,0.000066
0.669468,0.000069
0.674888,0.000073
0.680308,0.000076
0.685728,0.000080
0.691149,0.000083
0.696569,0.000087
0.701989,0.000091
0.707410,0.000096
0.712830,0.000100
0.718250,0.000105
0.723670,0.000109
0.729091,0.000114
0.734511,0.000119
0.739931,0.000124
0.745352,0.000130
0.750772,0.000135
0.756192,0.000141
0.761612,0.000147
0.767033,0.000153
0.772453,0.000160
0.777873,0.000166
0.783294,0.000173
0.788714,0.000180
0.794134,0.000188
0.799554,0.000195
0.804975,0.000203
0.810395,0.000211
0.815815,0.000219
0.821236,0.000228
0.826656,0.000237
0.832076,0.000246
0.837496,0.000255
0.842917,0.000265
0.848337,0.000275
0.853757,0.000285
0.859178,0.000296
0.864598,0.000307
0.870018,0.000318
0.875438,0.000329
0.880859,0.000341
0.886279,0.000354
0.891699,0.000366
0.897119,0.000379
0.902540,0.000393
0.907960,0.000406
0.913380,0.000420
0.918801,0.000435
0.924221,0.000450
0.929641,0.000465
0.935061,0.000481
0.940482,0.000497
0.945902,0.000514
0.951322,0.000531
0.956743,0.000548
0.962163,0.000566
0.967583,0.000585
0.973003,0.000604
0.978424,0.000623
0.983844,0.000643
0.989264,0.000663
0.994685,0.000684
1.000105,0.000706
1.005525,0.000728
1.010945,0.000750
1.016366,0.000774
1.021786,0.000797
1.027206,0.000822
1.032627,0.000846
1.038047,0.000872
1.043467,0.000898
1.048887,0.000925
1.054308,0.000952
1.059728,0.000980
1.065148,0.001009
1.070569,0.001038
1.075989,0.001068
1.081409,0.001099
1.086829,0.001130
1.092250,0.001162
1.097670,0.001195
1.103090,0.001228
1.108510,0.001263
1.113931,0.001298
1.119351,0.001334
1.124771,0.001370
1.130192,0.001408
1.135612,0.001446
1.141032,0.001485
1.146452,0.001525
1.151873,0.001566
1.157293,0.001607
1.162713,0.001650
1.168134,0.001693
1.173554,0.001737
1.178974,0.001782
1.184394,0.001828
1.189815,0.001875
1.195235,0.001923
1.200655,0.001972
1.206076,0.002022
1.211496,0.002073
1.216916,0.002125
1.222336,0.002178
1.227757,0.002232
1.234080,0.002296
1.240404,0.002362
1.248534,0.002449
1.256665,0.002538
1.264795,0.002630
1.272926,0.002724
1.281056,0.002821
1.289187,0.002920
1.297317,0.003023
1.305447,0.003128
1.313578,0.003236
1.321708,0.003347
1.329839,0.003461
1.337969,0.003577
1.346100,0.003697
1.354230,0.003820
1.362360,0.003946
1.370491,0.004076
1.378621,0.004208
1.386752,0.004344
1.394882,0.004483
1.403012,0.004626
1.411143,0.004772
1.419273,0.004921
1.427404,0.005075
1.435534,0.005232
1.443665,0.005392
1.451795,0.005556
1.459925,0.005724
1.468056,0.005896
1.476186,0.006072
1.484317,0.006252
1.492447,0.006436
1.500578,0.006624
1.508708,0.006816
1.516838,0.007012
1.524969,0.007213
1.533099,0.007417
1.541230,0.007627
1.549360,0.007840
1.557491,0.008058
1.565621,0.008280
1.573751,0.008508
1.581882,0.008739
1.590012,0.008976
1.598143,0.009217
1.606273,0.009462
1.614403,0.009713
1.622534,0.009969
1.630664,0.010229
1.638795,0.010494
1.646925,0.010765
1.655056,0.011040
1.663186,0.011321
1.671316,0.011607
1.679447,0.011898
1.687577,0.012194
1.695708,0.012496
1.703838,0.012803
1.711969,0.013115
1.720099,0.013433
1.728229,0.013756
1.736360,0.014085
1.744490,0.014420
1.752621,0.014760
1.760751,0.015105
1.768882,0.015456
1.777012,0.015814
1.785142,0.016176
1.793273,0.016545
1.801403,0.016919
1.809534,0.017300
1.817664,0.017686
1.825794,0.018078
1.833925,0.018476
1.842055,0.018880
1.850186,0.019290
1.858316,0.019706
1.866447,0.020128
1.874577,0.020556
1.882707,0.020990
1.890838,0.021431
1.898968,0.021877
1.907099,0.022330
1.915229,0.022788
1.923360,0.023253
1.931490,0.023724
1.939620,0.024201
1.947751,0.024685
1.955881,0.025174
1.964012,0.025670
1.972142,0.026172
1.980273,0.026680
