x,bps
0.010000,0.032968
0.011355,0.037435
0.012710,0.041902
0.014065,0.046368
0.015420,0.050835
0.020841,0.068678
0.026261,0.086526
0.034391,0.113277
0.042522,0.140016
0.054717,0.180069
0.066913,0.220060
0.079109,0.259972
0.091304,0.299787
0.103500,0.339490
0.115695,0.379067
0.127891,0.418502
0.140087,0.457781
0.152282,0.496889
0.164478,0.535811
0.176674,0.574533
0.188869,0.613041
0.201065,0.651320
0.213261,0.689356
0.225456,0.727134
0.237652,0.764642
0.249847,0.801865
0.262043,0.838790
0.274239,0.875402
0.286434,0.911689
0.298630,0.947636
0.310826,0.983232
0.323021,1.018463
0.335217,1.053316
0.347413,1.087778
0.359608,1.121838
0.371804,1.155482
0.383999,1.188700
0.396195,1.221478
0.408391,1.253806
0.420586,1.285671
0.432782,1.317064
0.444978,1.347972
0.457173,1.378386
0.469369,1.408294
0.481565,1.437687
0.493760,1.466554
0.505956,1.494886
0.518151,1.522674
0.530347,1.549908
0.542543,1.576580
0.554738,1.602681
0.566934,1.628202
0.579130,1.653137
0.591325,1.677477
0.603521,1.701215
0.615717,1.724345
0.627912,1.746859
0.640108,1.768752
0.652303,1.790017
0.664499,1.810650
0.676695,1.830644
0.688890,1.849995
0.701086,1.868700
0.713282,1.886753
0.725477,1.904151
0.737673,1.920891
0.749868,1.936969
0.762064,1.952385
0.774260,1.967135
0.786455,1.981217
0.798651,1.994632
0.810847,2.007377
0.823042,2.019453
0.834335,2.030037
0.845627,2.040047
0.854209,2.047272
0.862791,2.054166
0.870921,2.060392
0.879052,2.066323
0.887182,2.071959
0.895313,2.077300
0.906605,2.084231
0.917897,2.090598
0.930093,2.096844
0.942289,2.102438
0.954484,2.107384
0.966680,2.111688
0.978875,2.115354
0.991071,2.118387
1.003267,2.120793
1.015462,2.122578
1.027658,2.123749
1.039854,2.124311
1.052049,2.124273
1.064245,2.123642
1.076440,2.122426
1.088636,2.120633
1.100832,2.118271
1.113027,2.115349
1.125223,2.111876
1.137419,2.107863
1.149614,2.103317
1.161810,2.098250
1.174006,2.092671
1.186201,2.086591
1.198397,2.080021
1.210592,2.072971
1.222788,2.065452
1.234984,2.057476
1.247179,2.049053
1.259375,2.040196
1.271571,2.030917
1.283766,2.021226
1.295962,2.011135
1.308158,2.000658
1.320353,1.989805
1.332549,1.978589
1.344744,1.967023
1.356940,1.955117
1.369136,1.942885
1.381331,1.930338
1.393527,1.917489
1.405723,1.904351
1.417918,1.890934
1.430114,1.877252
1.442310,1.863316
1.454505,1.849138
1.466701,1.834730
1.478896,1.820104
1.491092,1.805272
1.503288,1.790245
1.515483,1.775034
1.527679,1.759652
1.539875,1.744108
1.552070,1.728414
1.564266,1.712580
1.576461,1.696619
1.588657,1.680539
1.600853,1.664351
1.613048,1.648066
1.625244,1.631692
1.637440,1.615241
1.649635,1.598721
1.661831,1.582141
1.674027,1.565511
1.686222,1.548840
1.698418,1.532136
1.710613,1.515408
1.722809,1.498663
1.735005,1.481910
1.747200,1.465157
1.759396,1.448411
1.771592,1.431679
1.783787,1.414968
1.795983,1.398285
1.808179,1.381637
1.820374,1.365031
1.832570,1.348471
1.844765,1.331965
1.856961,1.315517
1.869157,1.299134
1.881352,1.282820
1.893548,1.266581
1.905744,1.250422
1.917939,1.234346
1.930135,1.218359
1.942331,1.202465
1.954526,1.186667
1.966722,1.170970
1.978917,1.155378
1.991113,1.139893
2.003309,1.124518
2.015504,1.109258
2.027700,1.094114
2.039896,1.079090
2.052091,1.064188
2.064287,1.049411
2.076483,1.034760
2.088678,1.020239
2.100874,1.005847
2.113069,0.991589
2.125265,0.977464
2.137461,0.963475
2.149656,0.949623
2.161852,0.935910
2.174048,0.922335
2.186243,0.908901
2.198439,0.895608
2.210634,0.882457
2.222830,0.869448
2.235026,0.856582
2.247221,0.843860
2.259417,0.831282
2.268451,0.822057
2.277485,0.812912
2.285615,0.804749
2.293745,0.796650
2.301876,0.788615
2.310006,0.780644
2.318137,0.772737
2.326267,0.764894
2.334398,0.757116
2.342528,0.749400
2.350658,0.741749
2.358789,0.734161
2.366919,0.726637
2.375050,0.719176
2.383180,0.711779
2.391311,0.704444
2.399441,0.697173
2.407571,0.689964
2.415702,0.682817
2.423832,0.675733
2.431963,0.668711
2.440093,0.661751
2.448224,0.654853
2.456354,0.648016
2.464484,0.641240
2.472615,0.634525
2.480745,0.627871
2.488876,0.621277
2.497006,0.614743
2.505136,0.608269
2.513267,0.601854
2.521397,0.595499
2.529528,0.589203
2.537658,0.582965
2.545789,0.576786
2.553919,0.570664
2.562049,0.564601
2.570180,0.558594
2.578310,0.552645
2.586441,0.546752
2.594571,0.540916
2.602702,0.535135
2.610832,0.529410
2.618962,0.523741
2.627093,0.518126
2.635223,0.512566
2.643354,0.507059
2.651484,0.501607
2.659615,0.496208
2.667745,0.490863
2.675875,0.485570
2.684006,0.480329
2.692136,0.475140
2.700267,0.470003
2.708397,0.464917
2.716527,0.459882
2.724658,0.454897
2.732788,0.449962
2.740919,0.445077
2.749049,0.440242
2.757180,0.435455
2.765310,0.430716
