x,B,f,A0,Atheta,A0`, energy, f`
0.033956,-1.000000,0.000000,-0.266922,-0.000577,0.000000,0.500000,0.000000
0.034023,-1.000000,0.000000,-0.266922,-0.000579,0.000000,0.500000,0.000000
0.034090,-1.000000,0.000000,-0.266922,-0.000581,0.000000,0.500000,0.000000
0.034191,-1.000000,0.000000,-0.266922,-0.000584,0.000000,0.500000,0.000000
0.034291,-1.000000,0.000000,-0.266922,-0.000588,0.000000,0.500000,0.000000
0.034391,-1.000000,0.000000,-0.266922,-0.000591,0.000000,0.500000,0.000000
0.034492,-1.000000,0.000000,-0.266922,-0.000595,0.000000,0.500000,0.000000
0.034592,-1.000000,0.000000,-0.266922,-0.000598,0.000000,0.500000,0.000000
0.034692,-1.000000,0.000000,-0.266922,-0.000602,0.000000,0.500000,0.000000
0.034793,-1.000000,0.000000,-0.266922,-0.000605,0.000000,0.500000,0.000000
0.034893,-1.000000,0.000000,-0.266922,-0.000609,0.000000,0.500000,0.000000
0.034994,-1.000000,0.000000,-0.266922,-0.000612,0.000000,0.500000,0.000000
0.035094,-1.000000,0.000000,-0.266922,-0.000616,0.000000,0.500000,0.000000
0.035194,-1.000000,0.000000,-0.266922,-0.000619,0.000000,0.500000,0.000000
0.035295,-1.000000,0.000000,-0.266922,-0.000623,0.000000,0.500000,0.000000
0.035395,-1.000000,0.000000,-0.266922,-0.000626,0.000000,0.500000,0.000000
0.035495,-1.000000,0.000000,-0.266922,-0.000630,0.000000,0.500000,0.000000
0.035596,-1.000000,0.000000,-0.266922,-0.000634,0.000000,0.500000,0.000000
0.035696,-1.000000,0.000000,-0.266922,-0.000637,0.000000,0.500000,0.000000
0.035797,-1.000000,0.000000,-0.266922,-0.000641,0.000000,0.500000,0.000000
0.035897,-1.000000,0.000000,-0.266922,-0.000644,0.000000,0.500000,0.000000
0.035997,-1.000000,0.000000,-0.266922,-0.000648,0.000000,0.500000,0.000000
0.036098,-1.000000,0.000000,-0.266922,-0.000652,0.000000,0.500000,0.000000
0.036198,-1.000000,0.000000,-0.266922,-0.000655,0.000000,0.500000,0.000000
