x,B,f,A0,Atheta,A0`, energy
0.010000,-100.000000,0.000000,-3.701972,-0.005000,0.000000,0.500000
0.011355,-100.000000,0.000000,-3.701972,-0.006447,0.000000,0.500000
0.012710,-100.000000,0.000000,-3.701972,-0.008077,0.000000,0.500000
0.015419,-100.000000,0.000001,-3.701972,-0.011888,0.000000,0.500000
0.020839,-100.001589,0.000004,-3.701972,-0.021713,0.000001,0.500001
0.026258,-100.002019,0.000011,-3.701972,-0.034475,0.000004,0.500009
0.032355,-100.000230,0.000032,-3.701972,-0.052343,0.000023,0.500049
0.038452,-100.000090,0.000076,-3.701971,-0.073927,0.000096,0.500189
0.044549,-100.000020,0.000156,-3.701970,-0.099229,0.000328,0.500594
0.050645,-100.000033,0.000293,-3.701967,-0.128248,0.000966,0.501601
0.056742,-100.000082,0.000511,-3.701959,-0.160984,0.002514,0.503821
0.062839,-100.000213,0.000838,-3.701937,-0.197437,0.005919,0.508269
0.068936,-100.000509,0.001309,-3.701886,-0.237608,0.012825,0.516517
0.075033,-100.001127,0.001964,-3.701780,-0.281495,0.025896,0.530842
0.081129,-100.002335,0.002845,-3.701571,-0.329100,0.049214,0.554366
0.087226,-100.004571,0.004000,-3.701180,-0.380423,0.088718,0.591165
0.093323,-100.008506,0.005480,-3.700489,-0.435465,0.152679,0.646313
0.099420,-100.015140,0.007337,-3.699319,-0.494228,0.252137,0.725862
0.105517,-100.025895,0.009626,-3.697414,-0.556712,0.401278,0.836715
0.111613,-100.042723,0.012401,-3.694425,-0.622924,0.617680,0.986408
0.117710,-100.068217,0.015715,-3.689883,-0.692868,0.922364,1.182772
0.123807,-100.105695,0.019621,-3.683179,-0.766554,1.339605,1.433511
0.129904,-100.159260,0.024166,-3.673548,-0.843994,1.896447,1.745682
0.136001,-100.233793,0.029395,-3.660054,-0.925208,2.621894,2.125136
0.142097,-100.334855,0.035345,-3.641578,-1.010219,3.545764,2.575920
0.148194,-100.468461,0.042051,-3.616818,-1.099060,4.697211,3.099712
