x,B,f,A0,Atheta,A0`, energy
0.010000,-0.200000,0.000000,-0.212238,-0.000010,0.000000,0.500000
0.015421,-0.200000,0.000000,-0.212238,-0.000024,0.000000,0.500000
0.020842,-0.200000,0.000000,-0.212238,-0.000043,0.000000,0.500000
0.026264,-0.200000,0.000000,-0.212238,-0.000069,0.000000,0.500000
0.034395,-0.200000,0.000000,-0.212238,-0.000118,0.000000,0.500000
0.046593,-0.200227,0.000000,-0.212238,-0.000217,0.000000,0.500000
0.058791,-0.200299,0.000000,-0.212238,-0.000346,0.000000,0.500000
0.070988,-0.200027,0.000000,-0.212238,-0.000504,0.000000,0.500000
0.083186,-0.200011,0.000000,-0.212238,-0.000692,0.000000,0.500000
0.095384,-0.200002,0.000000,-0.212238,-0.000910,0.000000,0.500000
0.107581,-0.200001,0.000000,-0.212238,-0.001158,0.000000,0.500000
0.119779,-0.200000,0.000000,-0.212238,-0.001435,0.000000,0.500000
0.131977,-0.200000,0.000000,-0.212238,-0.001742,0.000000,0.500000
0.144174,-0.200000,0.000000,-0.212238,-0.002079,0.000000,0.500000
0.156372,-0.200000,0.000000,-0.212238,-0.002446,0.000000,0.500000
0.168570,-0.200000,0.000000,-0.212238,-0.002842,0.000000,0.500000
0.180767,-0.200000,0.000000,-0.212238,-0.003268,0.000000,0.500000
0.192965,-0.200000,0.000000,-0.212238,-0.003724,0.000000,0.500000
0.205163,-0.200000,0.000000,-0.212238,-0.004210,0.000000,0.500000
0.217360,-0.200000,0.000001,-0.212238,-0.004725,0.000000,0.500000
0.229558,-0.200000,0.000001,-0.212238,-0.005270,0.000000,0.500000
0.241756,-0.200000,0.000001,-0.212238,-0.005845,0.000000,0.500000
0.253953,-0.200000,0.000001,-0.212238,-0.006450,0.000000,0.500000
0.266151,-0.200000,0.000001,-0.212238,-0.007084,0.000000,0.500000
0.278349,-0.200000,0.000002,-0.212238,-0.007748,0.000000,0.500000
0.290546,-0.200000,0.000002,-0.212238,-0.008442,0.000000,0.500000
0.302744,-0.200000,0.000003,-0.212238,-0.009166,0.000000,0.500000
0.314942,-0.200000,0.000003,-0.212238,-0.009919,0.000000,0.500000
0.327139,-0.200000,0.000004,-0.212238,-0.010702,0.000000,0.500000
0.339337,-0.200000,0.000005,-0.212238,-0.011515,0.000000,0.500000
0.351535,-0.200000,0.000006,-0.212238,-0.012358,0.000000,0.500000
0.363732,-0.200000,0.000007,-0.212238,-0.013231,0.000000,0.500000
0.375930,-0.200000,0.000008,-0.212238,-0.014133,0.000000,0.500000
0.388128,-0.200000,0.000009,-0.212238,-0.015065,0.000000,0.500000
0.400325,-0.200000,0.000011,-0.212238,-0.016026,0.000000,0.500000
0.412523,-0.200000,0.000012,-0.212238,-0.017018,0.000000,0.500000
0.424721,-0.200000,0.000014,-0.212238,-0.018039,0.000000,0.500000
0.436918,-0.200000,0.000017,-0.212238,-0.019090,0.000000,0.500000
0.449116,-0.200000,0.000019,-0.212238,-0.020171,0.000000,0.500000
0.461314,-0.200000,0.000022,-0.212238,-0.021281,0.000000,0.500000
0.473511,-0.200000,0.000025,-0.212238,-0.022422,0.000000,0.500000
0.485709,-0.200000,0.000028,-0.212238,-0.023592,0.000000,0.500000
0.497907,-0.200000,0.000032,-0.212238,-0.024791,0.000000,0.500000
0.510104,-0.200000,0.000036,-0.212238,-0.026021,0.000000,0.500000
0.522302,-0.200000,0.000040,-0.212238,-0.027280,0.000000,0.500000
0.534500,-0.200000,0.000045,-0.212238,-0.028569,0.000000,0.500000
0.546697,-0.200000,0.000050,-0.212238,-0.029888,0.000000,0.500000
0.558895,-0.200000,0.000056,-0.212238,-0.031237,0.000000,0.500000
0.571093,-0.200000,0.000062,-0.212238,-0.032615,0.000000,0.500001
0.583290,-0.200000,0.000069,-0.212238,-0.034023,0.000000,0.500001
0.595488,-0.200000,0.000077,-0.212238,-0.035461,0.000000,0.500001
0.607686,-0.200000,0.000085,-0.212238,-0.036929,0.000000,0.500001
0.619883,-0.200000,0.000094,-0.212238,-0.038426,0.000000,0.500001
0.632081,-0.200000,0.000103,-0.212238,-0.039953,0.000000,0.500001
0.644279,-0.200000,0.000114,-0.212238,-0.041510,0.000000,0.500002
0.656476,-0.200000,0.000125,-0.212238,-0.043097,0.000000,0.500002
0.668674,-0.200000,0.000136,-0.212238,-0.044713,0.000000,0.500002
0.680872,-0.200000,0.000149,-0.212238,-0.046359,0.000000,0.500002
0.693069,-0.200000,0.000163,-0.212238,-0.048035,0.000000,0.500003
0.705267,-0.200000,0.000177,-0.212238,-0.049741,0.000000,0.500003
0.717465,-0.200000,0.000193,-0.212238,-0.051476,0.000000,0.500003
0.729662,-0.200000,0.000210,-0.212238,-0.053241,0.000000,0.500004
0.741860,-0.200000,0.000228,-0.212238,-0.055036,0.000000,0.500005
0.754058,-0.200000,0.000247,-0.212238,-0.056861,0.000000,0.500005
0.766255,-0.200000,0.000267,-0.212238,-0.058715,0.000000,0.500006
0.778453,-0.200000,0.000289,-0.212238,-0.060599,0.000000,0.500007
0.790651,-0.200000,0.000311,-0.212238,-0.062513,0.000000,0.500007
0.802848,-0.200000,0.000336,-0.212238,-0.064457,0.000000,0.500008
0.815046,-0.200000,0.000362,-0.212238,-0.066430,0.000000,0.500009
0.827244,-0.200000,0.000389,-0.212238,-0.068434,0.000000,0.500011
0.839441,-0.200000,0.000418,-0.212238,-0.070467,0.000000,0.500012
0.851639,-0.200000,0.000449,-0.212238,-0.072529,0.000000,0.500013
0.863837,-0.200000,0.000481,-0.212238,-0.074622,0.000000,0.500015
0.873324,-0.200000,0.000507,-0.212238,-0.076270,0.000000,0.500016
0.882811,-0.200000,0.000535,-0.212238,-0.077936,0.000000,0.500017
0.890943,-0.200000,0.000560,-0.212238,-0.079378,0.000000,0.500019
0.899074,-0.200000,0.000585,-0.212238,-0.080834,0.000000,0.500020
0.907206,-0.200000,0.000611,-0.212238,-0.082303,0.000000,0.500021
0.915338,-0.200000,0.000639,-0.212238,-0.083785,0.000000,0.500023
0.923470,-0.200000,0.000667,-0.212238,-0.085280,0.000000,0.500025
0.931602,-0.200000,0.000696,-0.212238,-0.086789,0.000001,0.500026
0.939733,-0.200000,0.000726,-0.212238,-0.088310,0.000001,0.500028
0.947865,-0.200000,0.000757,-0.212238,-0.089845,0.000001,0.500030
