x,B,f,A0,Atheta,A0`, energy
0.010000,-0.999232,0.000000,2.391693,-0.000050,-0.000000,0.500000
0.010903,-0.999294,0.000001,2.391693,-0.000059,-0.000000,0.500000
0.011807,-0.999786,0.000001,2.391693,-0.000070,-0.000000,0.500000
0.013614,-0.999994,0.000002,2.391693,-0.000093,-0.000000,0.500001
0.017227,-0.999999,0.000005,2.391693,-0.000148,-0.000000,0.500002
0.022647,-0.999999,0.000011,2.391693,-0.000256,-0.000000,0.500005
0.030778,-0.999673,0.000029,2.391693,-0.000474,-0.000000,0.500016
0.038908,-0.999568,0.000058,2.391693,-0.000757,-0.000000,0.500040
0.047039,-0.999962,0.000102,2.391693,-0.001106,-0.000001,0.500084
0.055169,-0.999985,0.000164,2.391693,-0.001522,-0.000002,0.500160
0.063299,-0.999997,0.000248,2.391693,-0.002003,-0.000003,0.500276
0.071430,-0.999999,0.000356,2.391693,-0.002551,-0.000006,0.500448
0.079560,-0.999999,0.000492,2.391693,-0.003165,-0.000009,0.500688
0.087691,-0.999998,0.000658,2.391693,-0.003845,-0.000015,0.501015
0.095821,-0.999998,0.000858,2.391693,-0.004591,-0.000024,0.501444
0.103952,-0.999996,0.001095,2.391692,-0.005403,-0.000035,0.501997
0.112082,-0.999994,0.001371,2.391692,-0.006281,-0.000051,0.502695
0.120212,-0.999990,0.001689,2.391692,-0.007225,-0.000072,0.503559
0.128343,-0.999986,0.002054,2.391691,-0.008236,-0.000100,0.504615
0.136473,-0.999979,0.002467,2.391690,-0.009312,-0.000136,0.505888
0.144604,-0.999971,0.002931,2.391689,-0.010455,-0.000181,0.507405
0.152734,-0.999959,0.003449,2.391687,-0.011663,-0.000237,0.509194
0.160865,-0.999945,0.004024,2.391685,-0.012938,-0.000306,0.511285
0.168995,-0.999926,0.004659,2.391682,-0.014279,-0.000390,0.513709
0.177125,-0.999902,0.005356,2.391679,-0.015686,-0.000492,0.516498
0.185256,-0.999872,0.006118,2.391674,-0.017159,-0.000613,0.519684
0.193386,-0.999835,0.006948,2.391669,-0.018698,-0.000758,0.523303
